Drug_Name,SMILES
Homatropine (ophthalmic),
Eliglustat,
Oxacillin,
Fluorometholone,
Clonidine,
Thallous Chloride,
Selenium Sulfide,
Cefapirin,
Tromethamine,
Fospropofol,
Ipratropium (nasal),
Quinapril,
Rubella virus vaccine,
Finasteride,
Carmustine,
Sarecycline,
Baloxavir marboxil,
Flibanserin,
Prasugrel,
Opicapone,
Paramethadione,
Risedronic acid,
Xylometazoline (nasal),
Lacosamide,
Bicalutamide,
Paricalcitol,
Vitamin D,
Levamlodipine,
Semaglutide,
Teriflunomide,
Erythromycin,
Botulinum toxin type A,
Mecobalamin,
Levamisole,
Butabarbital,
Lomustine,
Chondroitin sulfate,
Somapacitan,
Carboplatin,
Adalimumab,
Thiothixene,
Rocuronium,
Labetalol,
Oliceridine,
Ketorolac,
Chenodeoxycholic acid,
Benzylpenicillin,
Inotersen,
Torasemide,
Mepenzolate,
Asparaginase Escherichia coli,
Chlorambucil,
Oxygen,
Diamorphine,
Clindamycin,
Ziconotide,
Istradefylline,
Propylhexedrine (nasal),
Phenylpropanolamine,
Midostaurin,
Iloprost,
Ulipristal,
Levofloxacin,
Retapamulin (topical),
Simeprevir,
Alogliptin,
Attapulgite,
Alimemazine,
Lindane,
Licorice,
Cefixime,
Mefenamic acid,
Phenylephrine,
Necitumumab,
Pegvaliase,
Cefoperazone,
Brodalumab,
Terbinafine,
Demeclocycline,
Lubiprostone,
Cinacalcet,
Omega-3 fatty acids,
Liothyronine,
Methylergometrine,
Rizatriptan,
Certolizumab pegol,
Mogamulizumab,
Conjugated estrogens (topical),
Gentamicin,
Treprostinil,
Vinblastine,
Eltrombopag,
Plantago seed,
Chlorhexidine,
Pectin,
Gatifloxacin,
Filgrastim,
Estrone sulfate,
Desonide (topical),
Polyethylene glycol (3350 with electrolytes),
